artist_name,artist_id,artist_terms,artist_familiarity,artist_hotttnesss,artist_location,artist_7digitalid
Casual,ARD7TVE1187B99BFB1,hip hop,0.581793766,0.401997543,California - LA,165270
The Box Tops,ARMJAGH1187FB546F3,blue-eyed soul,0.630630038,0.417499645,"Memphis, TN",1998
Sonora Santanera,ARKRRTF1187B9984DA,salsa,0.487356791,0.343428378,,290021
Adam Ant,AR7G5I41187FB4CE6C,pop rock,0.630382334,0.454231157,"London, England",19072
Gob,ARXR32B1187FB57099,pop punk,0.651045661,0.401723686,,30973
Jeff And Sheri Easter,ARKFYS91187B98E58F,southern gospel,0.535292736,0.385470551,,432935
Rated R,ARD0S291187B9B7BF5,breakbeat,0.556495602,0.261941177,Ohio,17970
Tweeterfriendly Music,AR10USD1187B99F3F1,post-hardcore,0.801136447,0.605507136,"Burlington, Ontario, Canada",21128
Planet P Project,AR8ZCNI1187B9A069B,new wave,0.426667857,0.332275747,,276891
Clp,ARNTLGG11E2835DDB9,breakcore,0.550513698,0.422705641,,242273
JennyAnyKind,ARGSJW91187B9B1D6B,alternative rock,0.360031167,0.296268954,North Carolina,60488
Wayne Watson,ARC43071187B990240,ccm,0.545159296,0.351555861,"Wisner, LA",4923
Andy Andy,ARL7K851187B99ACD2,bachata,0.577508974,0.37948217,,88523
Bob Azzam,ARHHO3O1187B989413,chanson,0.085512047,0.251936525,,327171
Lionel Richie,ARIK43K1187B9AE54C,quiet storm,0.776675856,0.553071992,"Beverly Hills, CA",237
Blue Rodeo,ARD842G1187B997376,country rock,0.636423645,0.447935481,"Toronto, Ontario, Canada",3950
Richard Souther,ARIG6O41187B988BDD,chill-out,0.419943148,0.330806357,United States,24687
Faiz Ali Faiz,AR1ZHYZ1187FB3C717,qawwali,0.363280571,0.306676094,,248913
Tesla,ARYKCQI1187FB3B18F,hard rock,0.707199764,0.51346329,,1396
lextrical,ARNPAGP1241B9C7FD4,indietronica,0.32031437,0,,399889
Jimmy Wakely,ARQGYP71187FB44566,classic country,0.39413854,0.291539727,"Mineola, AR",34818
Alice Stuart,ARI3BMM1187FB4255E,electric blues,0.489816269,0.328553015,Washington,185559
Elena,AR5KOSW1187FB35FF4,uk garage,0.677420465,0.378254686,Dubai UAE,69720
The Dillinger Escape Plan,ARMAC4T1187FB3FA4C,math-core,0.839962768,0.541888972,"Morris Plains, NJ",82239
SUE THOMPSON,AR47JEX1187B995D81,pop rock,0.435415818,0.306242264,"Nevada, MO",36525
Five Bolt Main,ARGIWFO1187B9B55B7,post-grunge,0.6090637,0.363651365,,14773
Clp,ARNTLGG11E2835DDB9,breakcore,0.550513698,0.422705641,,242273
Tim Wilson,ARDNS031187B9924F0,filk,0.459797129,0.349912612,Georgia,14504
Willie Bobo,AROUOZZ1187B9ABE51,latin jazz,0.588827101,0.379671125,"New York, NY [Spanish Harlem]",15815
Faye Adams,ARH4Z031187B9A71F2,jump blues,0.396455254,0.299230368,"Newark, NJ",28882
Terry Callier,ARB29H41187B98F0EF,soul jazz,0.706827671,0.416173065,Chicago,9947
John Wesley,AR1Y2PT1187FB5B9CE,disco,0.560557984,0.452789477,Brandon,343187
The Shangri-Las,ARAJPHH1187FB5566A,doo-wop,0.640807102,0.418216518,"Queens, NY",14045
Billie Jo Spears,AR0RCMP1187FB3F427,classic country,0.523714637,0.384611084,"Beaumont, TX",16838
Mike Jones (Featuring CJ_ Mello & Lil' Bran),AREBBGV1187FB523D2,rap,0.79360508,0.426317956,"Houston, TX",9222
Sierra Maestra,ARGUVEV1187B98BA17,charanga,0.501544777,0.392733676,,107468
Butthole Surfers,ARPQ4Z01187FB3A736,noise rock,0.809323793,0.488019842,"San Antonio, TX",16860
Despina Vandi,ARNQAVF11F4C844C04,dance pop,0.632559542,0.41168896,,45784
Javier Navarrete,ARXUT4W1187FB48BEB,orchestra,0.597541218,0.382651971,,34461
Jacob Young,ARDD1RC1187B9B52B4,cool jazz,0.495445922,0.294861262,,125706
Scarlet's Remains,ARLGWFM1187FB4AC9F,gothic metal,0.527865076,0.393121934,California - LA,527722
The Suicide Machines,ARWYVP51187B98C516,ska punk,0.668674533,0.467538444,"Detroit, MI",240277
The Rolling Stones,ARFCUN31187B9AD578,blues,0.814829656,0.735765693,"London, England",522
Roberto Torres,AR6YDKV1187B989230,salsa,0.482356043,0.350078579,,176139
Loudon Wainwright III,ARV1JVD1187B9AD195,modern rock,0.661080168,0.442765842,"Chapel Hill, NC",16308
